No,Company Name(Required),Website Address,Company Number(Add second phone number after semicolon),Company Number Type(Add second phone type after semicolon),Company Email(Add second email  after semicolon),Company Email Type(Add second phone type after semicolon),fax_no,Vendor Type,Business Type,Lead Source,Client Salutation Name,Client First Name(Required),Client Last Name,Linkedin URL,Client Designation,Client Phone(Add second phone number after semicolon),Client Phone Type(Add second phone type after semicolon),Client Mail(Add second email after semicolon),Client Email Type(Add second email type after semicolon),House No,Street Name,"Address Line 2(Don't use comma(,) in any column)",City/County,State,Country,Zip Code,Time Zone,DATE,DISPOSITION,COMMENTS
12,Dyno Dave Graphics (Sign & Design),,4198756807,Mobile,dynodavemotorsports@yahoo.com,Work,,,,,,,,,,,,,,,,,,OH,,,,2021-06-05,call bck,call bck tommorow
13,Digital Graphics & Signs,http://www.alldigitalgraphics.com,3308421717,Mobile,sales@alldigitalgraphics.com,Work,,,,,Mr.,Kal,,,,,,kal@godgs.com,Work,,,,,OH,,,,19/3/2021,sale done,buisness card file
14,Direct Marketing Concepts,http://www.direct-marketing.net,4402340085,Mobile,info@direct-marketing.net,Work,,,,,Ms.,Cassie,,,,,,,,,,,,OH,,,,2021-01-04,call bck,call bck after 2 mnths
15,Galbraith & Paul,http://galbraithandpaul.com,2155080800,Mobile,you@yours.com,Work,,,,,,,,,,,,,,,,,,PA,,,,2021-06-05,call bck,call bck tommorow
16,Garlits Printing,http://garlitsprinting.com,2157362121,Mobile,clientservice@midatlanticprinting.com,Work,,,,,Mr.,Brian,,,,,,,,,,,,PA,,,,13/4/2021,sale done,vector file. 5-10 file in a month
17,RBI Printing Company Inc,http://www.rbi.net,7062783593,Mobile,rbiprintshop@gmail.com,Work,,,,,Ms.,Kathleen,,,,,,,,,,,,GA,,,,2021-05-05,interested cx.,call bck after 12th may
18,Dreamworks Embroidery Inc,,3522585858,Mobile,earthconnections@gmail.com,Work,,,,,Mr.,Bart,,,,,,,,,,,,FL,,,,2021-05-05,interested cx.,will give file once recieve his machine
19,Classic Stamp & Sign,http://www.classicstampandsign.com,2317370200,Mobile,brad@classicstampandsign.com,Work,,,,,Mr.,Brad,,,,,,,,,,,,MI,,,,30/4/2021,call bck,call bck 5th may 
20,Hydrojet Signs & Fabricating,http://www.hydrojetsigns.com,7655842125,Mobile,l_isenbarger@hydrojetsigns.com,Work,,,,,,,,,,,,,,,,,,IN,,,,15/3/2021,call bck,
22,DBG Promotions,http://www.dbgpromotions.com,4076296655,Mobile,jenny@dbgpromotions.com,Work,,,,,,,,,,,,,,,,,,FL,,,,20/4/2021,call bck,
23,Photography by Sunman,www.photographybysunman.com/,5618279072,Mobile,info@photographybysunman.com,Work,,,,,Mr.,Surej,,,,,,,,,,,,FL,,,,13/4/2021,call bck,will send when have something
24,SIR SPEEDY ,http://www.sirspeedy.com/,5618339661,Mobile,contactchris@sirspeedypb.com,Work,,,,,Mr.,Chris,,,,,,,,,,,,FL ,,,,2021-05-05,interested cx.,wii cal once get something
25,J S Grafx,Jsgrafx.com,7275363515,Mobile,webmaster@jsgraphics.com,Work,,,,,Mr.,Jeff,Signorini,,,,,,,,,,,FL,,,,2021-05-05,call bck,call bck nxt week
26,Printsmith Inc, Printsmithprinting.com,7277960064,Mobile,sales@printsmithprinting.com,Work,,,,,Mr.,Neil,Stein,,,,,sales@printmart.us,Work,,,,,FL,,,,2021-12-04,call bck,if need something he will call..
27,Northeast Sign,http://signarama.com,5708229800,Mobile,C-S@signarama.com,Work,,,,,,,,,,,,,,,,,,PA,,,,2021-05-05,call bck,call bck friday
28,Odd Graphic CO,Oddgraphic.com,2156460106,Mobile,shannon@oddgraphic.com,Work,,,,,Ms.,Shannon,Franke,,,,,,,,,,,PA,,,,23/4/2021,call bck,call bck 14th may on 201
29,Fast Imaging Center Inc,http://www.nextdaysignsindianapolis.com,3175467446,Mobile,nextdaysigns@iquest.net,Work,,,,,,,,,,,,,,,,,,IN,,,,13/4/2021,call bck,will call if need something
30,AMERICAN PROMOTIONAL PRODUCTS LLC,americanpromoprods.logomall.com/, 2393537731,Mobile,mrsbthomas@comcast.net,Work,,,,,Ms.,Amanda,,,,,,design@swflcreative.com,Work,,,,,FL,,,,2021-04-16,call bck,wii cal once get something
31,Sunrise Printing & Signs,sunriseprintingfl.com, 3212843803,Mobile,,,,,,,Mr.,Johny,Echeverry,,,,,info@sunriseprintingfl.com,Work,,,,,FL,,,,16/4/2021,call bck,if need something he will call..
32,All Occasions Signs ,www.alloccasionssigns.net ,9372746060,Mobile,SIGNS@ALLOCCASIONSSIGNS.NET,Work,,,,,Ms.,Keith,Purnell,,,,,,,,,,,OH ,,,,29/4/2021,call bck,
33,Golden Ribbon Trophies,mark@sylvanstudio.com,4193853837,Mobile,grtsteve@yahoo.com,Work,,,,,,,mark,,,,,,,,,,,OH,,,,27/4/2021,sale done,digitizing file
34,Graphic Awards,,6144249000; 6144249005,Mobile;Mobile,bpaxton@graphicawards.net,Work,,,,,Mr.,"Joseph, Brett",,,,,,,,,,,,OH,,,,26/4/2021,call bck,call bck after 10th may
35,Best Foot Forward Advertising,http://www.bestfootforwardadvertising.com,8145736110,Mobile,bestfootforwardadvertising@outlook.com,Work,,,,,Mr.,Donald,,,,,,,,,,,,PA,,,,2021-03-05,interested cx.,call bck after 2 today 
36,Blue Frog Promotions Of Ohio,http://bluefrogpromo.com,5136813218,Mobile,bluefrog@bluefrogpromo.com,Work,,,,,Ms.,Kim,,,,,,,,,,,,OH,,,,2021-03-05,call bck,email sent
37,Blue Marlin Graphics,http://bluemarlingraphics.com,6148850259; 6149463684,Mobile;Mobile,chris@bluemarlingraphics.com,Work,,,,,,,,,,,,,,,,,,OH,,,,2021-03-05,email sent,call bck after 15th
38,Paramount Graphics,www.paramountgraphics.com,8007148071,Mobile,info@paramountgraphics.com,Work,,,,,Mr.,Bruce,Campanelli,,,,,,,,,,,GA,,,,2021-03-05,call bck,
39,Phoenix Commercial Printers, www.phoenixprintinggroup.com,7067247445,Mobile,toniab@phoenixprintinggroup.com,Work,,,,,Mr.,Jeff,Hadden,,,,,,,,,,,GA,,,,2021-03-05,call bck,
40,Advanced Incentives,http://www.advancedincentives.com,4194719088,Mobile,customerservice@advancedincentives.com,Work,,,,,Mr.,Jim,Williams,,,4194732244,Mobile,,,,,,,OH,,,,2021-03-05,call bck,call bck after lunch
41,For-Most Specialties,http://www.for-mostspecialties.com,5135986300,Mobile,sales@imprintedlogo.com,Work,,,,,Mr.,Doug,,,,,,,,,,,,OH,,,,2021-03-05,call bck,call bck after 10th may
42,Frontier Signs,http://frontier-signs.com,5133670813,Mobile,info@frontier-signs.com,Work,,,,,,,,,,,,,,,,,,OH,,,,2021-04-05,call bck,call bck  friday
43,Fun Factory,,4197843866,Mobile,info@thefunfactory.biz,Work,,,,,Ms.,Jamie,,,,,,,,,,,,OH,,,,30/4/2021,call bck,call bck 11th may for follow up
44,Lloyd'S Of Indiana,http://lloydsofindiana.com,3172515430,Mobile,GARRY@LLOYDSOFINDIANA.COM,Work,,,,,Mr.,Garry,,,,,,,,,,,,IN,,,,2021-05-05,call bck,
45,Speedy Signs and Printing,,7709910847,Mobile,signspeedy@aol.com,Work,,,,,,,,,,,,,,,,,,GA,,,,2021-05-05,call bck,
46,Al Quick Quality Printers,,2016594003,Mobile,alqprinters@comcast.net,Work,,,,,,,,,,,,,,,,,,NJ,,,,2021-06-05,call bck,
47,Herhisroom.com,http://www.herroom.com,2146911191,Mobile,,,,,,,,,,,,,,,,,,,,TX,,,,25/3/2021,call bck,nobdy availabe right now
48,COWGIRL SPECIALTIES & PROMOTIONS ,http://www.cowgirlpromos.com ,2815509133,Mobile,info@cowgirlpromos.com,Work,,,,,,Regan,Molly,,,,,,,,,,,TX,,,,19/3/2021,call bck,working remotely so email it
49,A-E Graphics Inc,www.aegraphics.com/,4142259870,Mobile,downtown@aegraphics.com,Work,,,,,Mr.,John,Siber,,,2627817744,Mobile,,,,,,,WI,,,,24/3/2021,call bck,dont need any service right now
50,Lazare Printing Co Inc, Lazareprinting.com,7738712500,Mobile,david@lazareprinting.com,Work,,,,,,David,Bullard,,,,,,,,,,,IL,,,,13/4/2021,interested cx.,call bck nxt week for follow up at 21
51,Liberty Sales ,http://www.libertysales.biz/,7083442555,Mobile,sales@libertysales.biz,Work,,,,,,Suzie,,,,,,,,,,,,IL ,,,,29/3/2021,call bck,call bck nxt week on thrusdy
52,Homewood Printing & Promotions,www.homewoodpromos.com,2053682318,Mobile,homewoodpromos@bellsouth.net,Work,,,,,,Tiffany,,,,,,,,,,,,AL,,,,25/3/2021,interested cx.,call bck nxt week for follow up...she will give some file
53,Apparel Solutions Inc,http://apparelsolutions.net,2053714285,Mobile,csnead@mound.net,Work,,,,,,Chuck,,,,,,,,,,,,AL,,,,31/3/2021,email sent,working remotely
54,"Sir Speedy Print, Signs, Marketing",http://www.sirspeedy4092.com/,5123389818,Mobile,info@sirspeedy4092.com,Work,,,,,,,,,,,,,,,,,,TX,,,,28/4/2021,call bck,call bck nxt week
55,Hightower Agency,http://www.hightoweragency.com,6018531822,Mobile,info@hightowerservices.com,Work,,,,,,,,,,,,,,,,,,MS,,,,31/3/2021,call bck,no one is available
56,Franklins Printing Murfreesboro,http://www.franklinsprinting.org,6158950651,Mobile,orders@kkpmclean.com,Work,,,,,,Abby,,,,,,,,,,,,TN,,,,23/3/2021,call bck,call bck  for follow up...she will give some file
57,Preferred Printing Co,http://www.madeliappc.com,5076423600,Mobile,preferredprinting@locallink.net,Work,,,,,,,,,,,,,,,,,,MN,,,,20/4/2021,call bck,call bck b/w 1-2
58,"Gorham'S, Inc. ",http://www.gorhams.com/,2175441727,Mobile,GORHAMS@GORHAMS.COM,Work,,,,,,Mark,Zink,,,,,,,,,,,IL ,,,,2021-05-04,call bck,call bck tuesdy
60,Jason'S Custom Signs & Grphcs,http://www.jasons-signs.com,6086476906,Mobile,jason@jasons-signs.com,Work,,,,,,,,,,,,,,,,,,WI,,,,20/4/2021,call bck,call bck friday
61,Jansco Inc. ,http://www.janscoideas.com/,6307900004,Mobile,sales@janscoinc.com,Work,,,,,,Patricia,,,,,,patc@janscoinc.com,Work,,,,,IL ,,,,2021-09-04,interested cx.,may give file if needed
62,Mindy Harmon Photography,Mindyharmon.com ,2812962067,Mobile,info@mindyharmon.com,Work,,,,,,,,,,,,,,,,,,TX,,,,2021-02-04,call bck,may be available
63,Laser Copy,,8176494090,Mobile,maxx@lasercopy.com,Work,,,,,,Michael,,,,,,michael@libertycards.com,Work,,,,,TX,,,,2021-05-05,interested cx.,will send when have something
64,Pdx Printing,Pdxprinting.com ,9155446688,Mobile,print@pdxprinting.com,Work,,,,,,Sergio,Hernandez,,,,,,,,,,,TX,,,,20/4/2021,call bck,call bck after 20th may
65,THE PERFECT SOLUTION ,www.theperfectgreensolution.com ,2143619732,Mobile,HEDDYR1227@AOL.COM,Work,,,,,,,,,,,,,,,,,,TX,,,,26/4/2021,call bck,call bck tommorow
66,Exquisite Websites,http://www.exquisiteprinting.com,2143884663,Mobile,alfredexq@yahoo.com,Work,,,,,,Alfred,,,,,,,,,,,,TX,,,,2021-05-04,sale done,digitizing file
67,Presto Printing,http://www.presto-printing.com,2103445200,Mobile,orders@presto-printing.com,Work,,,,,,,,,,,,,,,,,,TX,,,,15/3/2021,call bck,no one is available
68,Anchor Printing,http://www.anchorprinting.net/,2814271576,Mobile,info@anchorprinting.com,Work,,,,,,,,,,2814282264,Mobile,,,,,,,TX,,,,13/4/2021,call bck,call bck after11.45
69,Crystal Ranch,http://crystalranch.net,2814314312,Mobile,info@thecrystalranch.com,Work,,,,,,Michelle,,,,8325289630,Mobile,,,,,,,TX,,,,29/4/2021,interested cx.,call bck 5th may for some file
70,BHG Printing,http://www.bhgprinting.com,2814634374,Mobile,customercare@bhgprinting.com,Work,,,,,,,,,,,,,,,,,,TX,,,,23/4/2021,call bck,no one is available
71,U S A Screen Printing Chemicals Inc,www.albert-rose-chemicals.eu ,2814749777,Mobile,,,,,,,,David Eisenbeiss  ,,,,,,,,,,,,TX,,,,2021-07-04,call bck,no one is available
72,Communicor Inc,Communicor.com,4149615999,Mobile,DON@COMMUNICOR.COM,Work,,,,,,Don,,,,,,,,,,,,WI,,,,13/4/2021,call bck,vm
73,Controls For Motion Automation,http://cmafh.com,2627811815,Mobile,sales@cmafh.com,Work,,,,,,,,,,,,,,,,,,WI,,,,2021-07-04,call bck,no one is available
74,Hicolor Graphics,www.theprint.us,8652869939,Mobile,sales@theprint.us,Work,,,,,,Sergey,Glukhov,,,,,,,,,,,TN,,,,13/4/2021,interested cx.,call bck friday for some file
75,Kearfott Graphix,,2177844020,Mobile,darrendale@cabnr.unr.edu,Work,,,,,,,,,,,,,,,,,,IL,,,,19/4/2021,call bck,cal bck after2.30
76,Cardinal Colorgroup,cardinalcolorgroup.com,6305945275,Mobile,sslcoum@cardinalcolorgroup.com,Work,,,,,,Sean,Slocum,,,,,,,,,,,IL,,,,2021-05-05,call bck,call bck tomorow
77,New City Screen Printing Inc,http://www.newcityscreenprinting.com,2812614883,Mobile,newcitytshirts@gmail.com,Work,,,,,,,,,,,,,,,,,,TX,,,,23/4/2021,call bck,
78,Emerson Press,Emersonpress.net,2176283441,Mobile,emersonpress@comcast.net,Work,,,,,,Leonard,Emerson,,,,,,,,,,,IL,,,,2021-05-05,call bck,cal bck after lunch
79,Delaney Photography,Delaneyphotography.com,6122870014,Mobile,delaneyphotography@earthlink.net,Work,,,,,,Dan,Delaney,,,,,,,,,,,MN,,,,2021-05-05,call bck,call bck after 12th may
80,J V Kenehan,Swoc.com,3125677000,Mobile,mmitchell@swoc.com,Work,,,,,,John,Hamilton,,,,,,,,,,,IL,,,,28/4/2021,call bck,
81,Abbott Tl Investments LLC,www.presto-printing.com ,2103445200,Mobile,tony@presto-printing.com,Work,,,,,,Tony,,,,,,tabbott@alphagraphics.com,Work,,,,,TX,,,,2021-06-05,call bck,call bck after lunch
82,Impact Branded Solutions ,,9016490176,Mobile,INFO@IMPACT-BRANDEDSOLUTIONS.COM,Work,,,,,,Chris,,,,,,,,,,,,MS ,,,,30/4/2021,call bck,call bck 10th may on monday
83,J & N Trophies,allstarawards@gmail.com,6014428436,Mobile,rivergate@cableone.net,Work,,,,,,Lee,,,,,,,,,,,,MS,,,,2021-03-05,interested cx.,call bck  mndy afgter lunch
84,Jenkins Graphics,http://jenkinsgraphics.com,6628902851,Mobile,,Work,,,,,,Wayne,,,,,,jenkins000@centurytel.net,Work,,,,,MS,,,,2021-05-05,call bck,will send when have something
86,Quality Printing,Quality-Printing.com,3207620606,Mobile,orders@qualityprinting.com,Work,,,,,,Paul,Maack,,,,,,,,,,,MN,,,,2021-06-05,call bck,call bck tmorow
87,Interform Graphics,http://interformgraphics.com,6154536054,Mobile,interformgraphics@comcast.net,Work,,,,,,Branda,,,,,,,,,,,,TN,,,,2021-05-05,call bck,call bck thrusday
88,Accolades Advertising,http://www.djay.net,5059860812,Mobile,info@etchmaster.com,Work,,,,,,Dona,J,,,5056603815,Mobile,,,,,,,NM,,,,26/3/2021,call bck,right now dont need anything  just send the details on email
89,B C Graphics,http://www.bcgraphics.com,4808311544,Mobile,info@bcgraphics.com,Work,,,,,,Amanda,,,,,,info@myblankcanvas.com,Work,,,,,AZ,,,,18/3/2021,call bck,call bck tomorow to give details
90,Bazzill Engraving Co,Bazzillengraving.com,6024379019,Mobile,sam@bazzillengraving.com,Work,,,,,,Sam,Manna,,,6024379019,Mobile,,,,,,,AZ,,,,15/3/2021,sale done,logo work
91,"Happy Printers, Llc",http://www.happyprintersaz.com,6239313747,Mobile,happyprinters@qwestoffice.net,Work,,,,,,linda,,,,9493485400,Mobile,,,,,,,AZ,,,,17/3/2021,call bck,call bck again sometime
93,Julie Sullivan Design,Juliesullivandesign.com,9287791120,Mobile,julie@juliesullivandesign.com,Work,,,,,,Julie,Sullivan,,,,,,,,,,,AZ,,,,17/3/2021,sale done,call bck on 13-14th for some work. call bck around 10
94,Impact,www.impactpmg.com,3035486746,Mobile,MaskingImage@impactpmg.com,Work,,,,,,Dave,,,,,,dave@impactweprint.com,Work,,,,,CO,,,,2021-02-04,call bck,if need something he will call..
95,C W & H Graphics,Cwhgraphics.com,3035715517,Mobile,carlie@cwhgraphics.com,Work,,,,,,Carlie Barnhart,,,,,,,,,,,,CO,,,,29/4/2021,email sent,
97,OUTFRONT Media,http://outfrontmedia.com/,3033335400,Mobile,terrell.jones@outfrontmedia.com,Work,,,,,,,,,,,,,,,,,,CO,,,,25/3/2021,call bck,staff working remotely
98,Urban Image,http://www.urbanimagecreative.com,5056034870,Mobile,urbaniamgecreative@gmail.com,Work,,,,,,Omar,,,,,,omar@urbanimagewrats.com,Work,,,,,NM,,,,30/3/2021,call bck,call bck tomorow in morning at 9.30
99,Arizona Business Forms Inc,http://www.printabf.com,4808391440,Mobile,info@printabf.com,Work,,,,,,Scott,Williams,,,,,dexter@printabf.com,Work,,,,,AZ,,,,2021-12-04,call bck,dont need any service right now
100,Glendale Office Supply-Gos,http://www.gosproducts.com,6239374731,Mobile,info@gosproducts.com,Work,,,,,,Erick,,,,,,,,,,,,AZ,,,,29/4/2021,call bck,
102,Photo Design Of Arizona Inc,www.photodesign.com,6024387233,Mobile,joeln@photodesign.com,Work,,,,,,Duncan Quan ,joel,,,,,,,,,,,AZ,,,,27/4/2021,interested cx.,call bck 3rd may
103,Derby Professional Screen Printing,http://derbybicyclecenter.com,3032884100,Mobile,sales@derbybicyclecenter.com,Work,,,,,,,,,,,,,,,,,,CO,,,,2021-01-04,call bck,
104,Hodgins Printing Co,http://hodginsprinting.com,5853451030,Mobile,mail@johnstudio.com,Work,,,,,,, ,,,,,,,,,,,NM,,,,2021-07-04,call bck,no one is available
105,Aibus Corp,http://subia.com,5053452636,Mobile,david@subia.com,Work,,,,,,David,,,,,,,,,,,,NM,,,,2021-03-05,interested cx.,call bck 12th may for file
106,Aztec Printing Solutions,http://www.aztec.espwebsite.com,4807751121,Mobile,aztecprinting@toua.net,Work,,,,,,Gala,,,,,,,,,,,,AZ,,,,2021-07-04,call bck,call bck in 2-3 mnths
107,Julie Sullivan Design,Juliesullivandesign.com,9287791120,Mobile,julie@juliesullivandesign.com,Work,,,,,,Julie,Sullivan,,,,,,,,,,,AZ,,,,2021-07-04,call bck in 1 -2 hr,mary
108,Snowbird Creations,,3033646969,Mobile,,,,,,,,"Kari, Ashley",,,,,,kari@actiondenver.com,Work,,,,,CO,,,,13/4/2021,email sent,if need something she will call..
109,Paco's Graffix,http://www.pacosgraffix.com,2093279551,Mobile,pacosgraffix@yahoo.com,Work,,,,,,Francisco,,,,2093662466,Mobile,,,,,,,CA,,,,22/3/2021,sale done,vector redrew
110,Gowans Printing Co.,http://www.gowansprintingcompany.com,2095236036,Mobile,bruce@gowansprinting.com,Work,,,,,,Paula,,,,,,gowanspress@pacbell.net,Work,,,,,CA,,,,2021-03-05,interested cx.,call bck again on 12th may
111,Etcetera.Ca,,2504492223,Mobile,JW@ETCETERA.CA,Work,,,,,,Joanne,Welch,,Owner,,,,,,,,,WA,,,,17/3/2021,call bck,nobdy availabe due to covid
112,Marcia Herrmann Design,http://www.her2man2.com,2095210388,Mobile,peter@Her2man2.com,Work,,,,,,Betty,,,,,,betty@mhdgroup.com,Work,,,,,CA,,,,19/3/2021,call bck,email sent
113,Fearey Group,http://www.feareygroup.com,2063431543,Mobile,ablank@feareygroup.com,Work,,,,,,,,,,,,,,,,,,WA,,,,30/3/2021,call bck,call bck later this week
114,Budget Signs,http://budgetsignsplus.com/,6194470059,Mobile,,,,,,,,Ed,,,,,,info@3dimagingsigns.com,Work,,,,,CA,,,,24/3/2021,interested cx.,call bck mndy at 8.30 in morning may give some file
115,Buschmann Communications-The Shopper,http://yubasuttershopper.com/,5306735631,Mobile,clark@yubasuttershopper.com,Work,,,,,,Clark,Buschmann,,,5306325631,Mobile,,,,,,,CA  ,,,,26/3/2021,call bck,inhouse
116,Business Printing Company,https://www.businessprintingco.com/,8584532111,Mobile,info@businessprintingco.com,Work,,,,,,Eric,B,,,8584530122,Mobile,,,,,,,CA,,,,26/3/2021,call bck,
118,Central Valley Labels Inc,http://www.centralvalleylabels.com/,5593460482,Mobile,juanita@centralvalleylabels.com,Work,,,,,,Carol,Helwig,,,5593460484,Mobile,,,,,,,CA,,,,23/3/2021,call bck,no one is available
119,Fwd Screen Printing,http://www.fwdscreenprinting.com,7605978738,Mobile,Fwdscreenprinting@yahoo.com,Work,,,,,,,,,,,,,,,,,,CA,,,,2021-12-04,call bck,
120,EUREKA SHIRT CIRCUIT,,7075027250,Mobile,EUREKASHIRT@YAHOO.COM,Work,,,,,,Jeff,Morris,,,,,,,,,,,CA,,,,31/3/2021,call bck,call bck nxt week
121,Soccer & Sports,http://www.soccerandsports.com,7075230991,Mobile,,,,,,,,,,,,,,,,,,,,CA,,,,31/3/2021,call bck,call bck after 1/2 hr
122,Ad Express,,3238761000,Mobile,send1234@yahoo.com,Work,,,,,,Gary,,,,,,,,,,,,CA,,,,31/3/2021,call bck,email sent
123,iStreem Media,http://www.istreem.net/,3107202807,Mobile,ken@commotionpromotions.com,Work,,,,,,John H,Mcroskey,,,,,ctmeister@istreemmeadia.com,Work,,,,,CA,,,,31/3/2021,email sent,charlie
124,Stanton Advertising Specialty Company,,7148705331,Mobile,hostmaster@government-careers.com,Work,,,,,,"Darla, Beaver",Gate,,,,,,,,,,,CA,,,,31/3/2021,email sent,nobdy availabe due to covid
125,Team Swolen Activewear,http://www.sweetstringsswimwear.com,7149783797,Mobile,jwright@sweetstringsswimwear.com,Work,,,,,,Todd,,,,,,todd@swolen.com,Work,,,,,CA,,,,31/3/2021,call bck,call bck tomorow
126,DeVaul Publishing Inc,http://www.devaulpublishing.com,3607486848,Mobile,fdevaul@myhome.net,Work,,,,,,,,,,,,,,,,,,WA,,,,2021-05-04,call bck,staff working remotely
127,Fast Imaging Center Inc,http://fastbanners.biz/,5108456333,Mobile,fastimaging@yahoo.com,Work,,,,,,Inder,,,,,,,,,,,,CA,,,,2021-03-05,call bck,call bck tuesdy 3.30
128,Super Color Digital,http://suburbangraphics.com,7027351212,Mobile,pspencer@suburbangraphics.com,Work,,,,,,John,,,,9496220010,Mobile,,,,,,,NV,,,,27/4/2021,call bck,call bck tommorow
129,Venus Printing,http://www.venusprinting.com/,6195901148,Mobile,info@venusprinting.com,Work,,,,,,Mansour H,Karyakos,,,6195901189,Mobile,,,,,,,CA,,,,20/4/2021,call bck,
130,Tv.com,http://www.tv.com/,4156731404,Mobile,,,,,,,,,,,,,,,,,,,,CA,,,,2021-06-04,call bck,
131,Brightminds (Mybadges.Com),,6042758455,Mobile,HEATHER@MYBADGES.COM,Work,,,,,,Kane,,,,,,kane@mybadges.com,Work,,,,,WA,,,,2021-12-04,interested cx.,dont have anything right now
132,Buck Design Inc, Buck.tv,2136230111,Mobile,,,,,,,,Jeff,Ellermeyer,,,,,,,,,,,CA,,,,2021-06-04,call bck,
133,High Desert Sporting Arms,http://www.tshirtted.com,6612721914,Mobile,ted@tshirtted.com,Work,,,,,,Andy,,,,6612720712,Mobile,,,,,,,CA,,,,30/4/2021,sale done,AI file
134,Palmdale Trophy,http://palmdaletrophy.com,6612732880,Mobile,info@palmdaletrophy.com,Work,,,,,,,,,,,,,,,,,,CA,,,,20/4/2021,call bck,call bck in may
135,EMPOWER PROMOS,francia26@hotmail.com,6614000923,Mobile,info@empoweredbyadam.com,Work,,,,,,Fran,Summers,,,,,,,,,,,CA,,,,20/4/2021,call bck,if need something she will call..
136,EMPIRE PAPER CORP.,,5105341841,Mobile,kenlocke@iepco.com,Work,,,,,,Elizabeth,Meixell,,,,,info@afcendprinting.com,Work,,,,,CA,,,,30/4/2021,call bck,call bck 7th may friday
137,CENTRAL VALLEY BUSINESS FORMS,,5596513595,Mobile,CORINNE@CVBF.COM,Work,,,,,,Teddi,,,,,,teddi@cvbf.com,Work,,,,,CA,,,,2021-03-05,call bck,call bck 7th may friday
138,LESLEY & ASSOCIATES,,5596886550,Mobile,info@lesleyhartman.ca,Work,,,,,,Lesley,,,,,,lesley@lesleyandassociates.comcastbiz.net,Work,,,,,CA,,,,2021-05-05,interested cx.,call bck 7th may  friday for some file
139,Screenworks,http://screen-works.com,7144327900,Mobile,,,,,,,,Robert,,,,,,,,,,,,CA,,,,23/4/2021,call bck,call bck after 20th may
140,San Andreas Print Shop,http://www.sanandreasprintshop.com/,2097541500; 2097541526,Mobile;Mobile,Lisasaps@comcast.net,Work,,,,,,,,,,,,,,,,,,CA,,,,23/4/2021,call bck,call bk after 4
141,Graphic Communications,Gcprint.com,3607865110,Mobile,carolyn@gcprint.com,Work,,,,,,Doug,Souliere,,,,,gc@gcprint.com,Work,,,,,WA,,,,28/4/2021,send email,
142,Voler Team Apparel,www.voler.com,8054737808,Mobile,,,,,,,,Jason,,,,,,jasonc@voler.com,Work,,,,,CA,,,,2021-03-04,call bck,call bck  tuesdy
143,A & B Embroidery,,3103203061,Mobile,,,,,,,,,,,,,,,,,,,,CA,,,,30/4/2021,call bck after 15th may,
144,Copy Shop,Thecopyshop.us, 5099622679,Mobile,orders@thecopyshop.us,Work,,,,,,,,,,,,,,,,,,WA,,,,2021-06-05,call bck,
